"Total seconds","Self seconds","File size","File path"
0.312500,0.125000,76103,"/usr/include/c++/6/type_traits"
0.171875,0.125000,55897,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++config.h"
0.062500,0.000000,2167,"/usr/include/c++/6/cstdint"
0.046875,0.015625,2007,"/usr/include/x86_64-linux-gnu/c++/6/bits/os_defines.h"
0.031250,0.015625,12985,"/usr/include/features.h"
0.015625,0.015625,7029,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stdint-gcc.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/6/include/stdint.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/6/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
